id,title,speakers,description,link
95,What?? New in Accessibility (for Developers and Users),Jeff Petty,"In this brief video, Jeff Petty from the Windows Accessibility Team, provides an overview of some of the new accessibility features coming to Windows in 2016. He shares information about how Microsoft is responding to user requests for a ??ne stop shop??for accessibility on MSDN (the new Accessibility Developer Hub) and to combine guidance and sample code in articles (the new Design &amp; UI content at the Windows Dev Center). The overview also includes XAML improvements, e.g. support for mnemonics or access keys in a few steps, and Edge platform improvements, e.g. code web pages and apps using web standards like ARIA for an accessible experience. He also shares some new tools that make it easier to find, triage and fix common accessibility errors within Visual Studio and after apps have been deployed using Narrator Developer Mode. Finally, he shares some investments Microsoft is making to improve the Narrator user experience. Microsoft believes there is a great business case for creating accessible applications for all users, and is investing to make it easier for developers to create accessible experiences. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c205ed7e008d46a0911da5d900c2a455"" />",https://s.ch9.ms/Events/Build/2016/P496
96,UWP Application Data: Building a Continuous App Experience,"Sandeep Mathew George, Hector Barbera","Most apps need to store data. This session will teach you the design principles to model and store your UWP app data so that it is preserved via Backup/Restore, synced across devices via app data roaming, shared between your suite of applications and also shared across users of your application on a device. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:97fe3c4e20fe4f539cc5a5d900c2a439"" />",https://s.ch9.ms/Events/Build/2016/P495
97,Windows 10 Identity Overview,Karanbir Singh,"Windows 10 is an exciting release from an Identity point of view with many new additions like Azure Active Directory Join, Web Account Manager, Microsoft Passport, and Windows Hello. This session is a high-level overview of the new Identity features and how they fit with each other. The viewers are expected to walk away with a clear mental model for user Identity on Windows 10. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:79e73c05a2d44c0c8ef3a5d900c2a432"" />",https://s.ch9.ms/Events/Build/2016/P494
98,Managing Windows in an Enterprise: Empower Your Users & Protect Your Data,Janani Vasudevan,"Enabling people to access their corporate apps and data on their devices, whether in the office or on the road, doesn?? need to be a challenge. Windows 10 helps protect corporate resources though mobile device management, data protection, and identity both from on-premises and in the cloud. This session will explain how Windows 10 can help organizations give people the best apps to do their jobs while reducing costs and keeping data safe. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d5ca08023a75489197a3a5d900c2a428"" />",https://s.ch9.ms/Events/Build/2016/P493
99,The Power of the EffectBrush in Windows UI,"Dave Driver, Kelly Renner, Chris Raubacher","In the this short talk Chris and Kelly will explore key concepts, code and demos for getting started with the Windows.UI.Composition effects system. You??l learn how to describe, animate and chain effects for Universal Windows Platform Applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9c8cd0c4d82f4f9191e2a5d900c2a422"" />",https://s.ch9.ms/Events/Build/2016/P492
100,Windows Unlock with IoT Devices,Anoosh Saboori,"With Windows 10 strong authentication and biometrics we??e poised for mainstreaming on Windows devices with Microsoft Passport and Windows Hello. These solutions are about to become more flexible than ever with the companion device framework that will enable IHV?? to build a broad range of devices (e.g.: wearables, NFC cards, etc) that can be used to remotely unlock or even authenticate on your Windows 10 devices. You can find more information on MSDN: https://msdn.microsoft.com/en-us/windows/uwp/security/companion-device-unlock <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:89592d5ae56d44d08804a5d900c2a41a"" />",https://s.ch9.ms/Events/Build/2016/P491
101,Beyond the EffectBrush with Windows UI,"Dave Driver, Kelly Renner, Chris Raubacher","This talk assumes you have an understanding of using the Windows UI EffectBrush (presented in Talk One) and want to learn some new techniques like shadows, scene based and backdrop effects to take your application to the next level of beautiful. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2c840ecfa8f34e719611a5d900c2a40d"" />",https://s.ch9.ms/Events/Build/2016/P490
102,Async Programming Improvements for C++ and UWP,"Peter Torr, Eric Mittelette, Gor Nishanov","In this video, you??l see how C&#43;&#43; Coroutines can dramatically simplify the Async coding pattern for UWP, whilst boosting readability and maintainability. As with many other languages, C&#43;&#43; now has an ??wait??like feature that lets functions suspend and resume without blocking their threads. The new C&#43;&#43; co_await keyword can be used with both standard C&#43;&#43; and C&#43;&#43;/CX, and is supported for both Universal Windows Apps and Classic Windows Apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:fb54b980ac4f48b6b9cfa5d900c2a3ff"" />",https://s.ch9.ms/Events/Build/2016/P489
103,Using Expression Animations to Create Engaging & Custom UI,"Anthony Young, Lindsay Kubasik","Learn to use the new animation engine to create custom and responsive motion experiences in your Universal Windows Application. This talk is a deep dive on how to use expression animations in the visual layer to build engaging and exciting UI with incredible flexibility. This talk covers concepts from creating a basic expression animation, up through using properties of visuals to drive expression animations. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c9476bf936f84aed9f73a5d900c2a3c9"" />",https://s.ch9.ms/Events/Build/2016/P486
104,Connected Animations,Varun Shandilya,"Connected animations provides a way for developers to run animations while the user is moving between scenes or pages. This helps user to main focus on the right thing and orient them as they land in a new scene and page. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:338dae62ceec46488689a5d900c2a3be"" />",https://s.ch9.ms/Events/Build/2016/P485
105,Implicit Animations,Varun Shandilya,"Implicit Animations helps developers to declare their animations/behavior ahead of time and as changes happen to properties in application related animations are played by the system implicitly reducing development overhead for maintenance. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6733f60835a94780bf4fa5d900c2a3b3"" />",https://s.ch9.ms/Events/Build/2016/P484
106,Using Non-volatile Memory (NVDIMM-N) as Byte-Addressable Storage in Windows Server 2016,Tobias Klima,"This session covers the use of non-volatile memory (NVDIMM-N) in a byte-addressable mode with a DirectAccess (DAX), a.k.a. zero-copy file system in Windows Server 2016. In this mode, DAX-aware applications can expect ultra-low latency access (orders of magnitude compared to SSD) to the persistent storage medium and gain significant efficiencies. The open-source NVML library makes this transition easier for apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5c19e63ca7ca4a2e8d65a5d900c2a3aa"" />",https://s.ch9.ms/Events/Build/2016/P470
107,Using Non-volatile Memory (NVDIMM-N) as Block Storage in Windows Server 2016,Tobias Klima,"This session covers why non-volatile memory - in the form of NVDIMM-N - is an important storage medium of interest to application developers and DevOps experts. It will provide insight into non-volatile memory can be easily exploited in Windows Server 2016, without application changes, for extremely high performance read/write workloads, such as SQL. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9c61408af81d412ea247a5d900c2a3a3"" />",https://s.ch9.ms/Events/Build/2016/P466
108,Runtime Editing Tools for XAML,??ante Gagne,"This video gives a brief overview of the newest runtime editing tools available in with Visual Studio 2015 Update 2 and the newest Visual Studio preview. The In-App runtime tools streamline the UI Debugging workflows. The Live Property Explorer can inspect properties exposed by automation peers which makes accessibility related issues easier to fix and XAML Edit &amp; Continue lets you edit live XAML while the app is running and get immediate feedback. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:4a835fec28414b2b9d48a5d900c2a398"" />",https://s.ch9.ms/Events/Build/2016/P465
109,Enterprise Data Protection: Building Windows Apps that Keep Work and Personal Data Separate and Secure,"Derek Adam, Rohith Gowda","IT?? biggest challenge is how to manage access to work data for a mobile workforce, where phones and laptops with sensitive data are lost or recycled, employees switch companies, and data lands on personal devices. Windows 10 provides a way for trusted apps to safely handle work and personal, so enterprises can manage their data without destroying personal data or boxing in the user experience. This session will cover how to call the APIs for creating a trustworthy app that complies with enterprise data policy, while providing a safe and uncompromised personal experience.??<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:1f665782c2354b2da353a5d900c2a389"" />",https://s.ch9.ms/Events/Build/2016/P464
110,Integrating your Systems with Logic Apps,"Jeff Hollan, Jon Fancey","Watch this session to see what you can do with Logic Apps, our cloud-scale workflow engine that enables you to connect SaaS applications to data sources to social media to your own API Apps and more! Logic Apps enables you to integrate systems and applications quickly and easily using a powerful browser-based designer. You??l also see how you can consume custom APIs in Logic Apps to connect FTP to SQL across Logic Apps using Service Bus. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f0fbce530ce442aeb631a5d900c2a382"" />",https://s.ch9.ms/Events/Build/2016/P462
111,Windows Device Portal ??Diagnose Windows Devices from the Comfort of Your Browser,Hirsch Singhal,"Device control and diagnostics from the convenience of your browser.&nbsp; Windows Device Portal will be included on all Windows 10 devices, coming in the April Tech Preview.&nbsp; From Device Portal, UWP developers can sideload their apps, get performance and ETW traces, and interact with their device, using the same set of tools and REST APIs regardless of platform. This video will go over tools on Phone and HoloLens, show off new UI coming from Xbox, and show you how to use Device Portal from the command line. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:fddb1131026b46ba8c26a5d900c2a367"" />",https://s.ch9.ms/Events/Build/2016/P461
112,Intro to Bluetooth Background Communication,Kiran Pathakota,"Take a look at the Bluetooth classic communication paradigm that Windows 10 has to offer. With the latest APIs released just in time for //Build 2016, you'll see that devices don't always have to be paired in order to communicate with Windows. Learn all about sockets, Bluetooth RFCOMM, background triggers and how your app can effectively use Bluetooth even while unpaired. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:81290c8e16b9413ba28ea5d900c2a2e5"" />",https://s.ch9.ms/Events/Build/2016/P460
113,Universal 3D Printing with Windows,Michael Scherotter,"3D printing is now universal across Windows devices including Desktop, Tablet, phone, and HoloLens. In this talk you will learn about the various app and game scenarios that are enabled by 3D printing. You will also see the various ways that developers can integrate 3D printing into universal windows and desktop applications in a consistent way across devices. You will learn about the 3MF format and consortium and the various ways for hardware and software companies can become part of the growing 3D printing, design, and manufacturing ecosystem. Finally, you will learn about how Microsoft is making investments in the future of 3D printing on Windows. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2f1210ade4d44385a119a5d900c2a2d9"" />",https://s.ch9.ms/Events/Build/2016/P459
114,Applications That Learn & Adapt: Azure Machine Learning + Search,Liam Cavanagh,"Most likely you have seen product recommendations in some of your favorite ecommerce sites. These are often presented as &quot;Frequently Bought Together&quot; recommendations which show products that other users have purchased along with the currently viewed product. Recommendations are one of the many ways that Machine Learning can be used to enhance a user?? search experience and can be applied to a large number of scenarios beyond ecommerce. In this demo heavy session, we will discuss topics such as feedback loops, personalization, relevancy tuning and learn how to use technologies such as Azure Search and Azure Machine Learning to build out and enhance the full text search experience of your web and mobile applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:79ea541c2949447f86c0a5d900c2a2d1"" />",https://s.ch9.ms/Events/Build/2016/P458
115,Hosted Web Apps Myth #10:  My Web App Can?? Interact with Native Code,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3898b32f39a240faa308a5d900c2a2c2"" />",https://s.ch9.ms/Events/Build/2016/P453
116,Hosted Web Apps Myth #9: Hosted Web Apps Can't Manage Media as Well as Native,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:4c04d2510d8948768de1a5d900c2a2b7"" />",https://s.ch9.ms/Events/Build/2016/P452
117,Hosted Web Apps Myth #8: Hosted Web Apps Don?? Get the Latest Cool Features,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8876598008004c8ea9b3a5d900c2a2ac"" />",https://s.ch9.ms/Events/Build/2016/P451
118,Hosted Web Apps Myth #7:  Hosted Web Apps Can?? Access Hardware,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:aa198b61d67d46b2ae34a5d900c2a29b"" />",https://s.ch9.ms/Events/Build/2016/P450
119,Hosted Web Apps Myth #6: Hosted Web Apps Can?? Run in the Background,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:56efc107b5ad4337807ea5d900c2a292"" />",https://s.ch9.ms/Events/Build/2016/P449
120,Hosted Web Apps Myth #5: Hosted Web Apps Don?? Work Offline,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ef5048dc8b214f1e8cf4a5d900c2a289"" />",https://s.ch9.ms/Events/Build/2016/P448
121,Hosted Web Apps Myth #4: Hosted Web Apps Take Too Long to Load,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:609aa3d67dd1452f9576a5d900c2a281"" />",https://s.ch9.ms/Events/Build/2016/P447
122,Hosted Web Apps Myth #3:  Hosted Web Apps Aren?? Good for Games,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:698fdaf6bc1a4092b0f3a5d900c2a275"" />",https://s.ch9.ms/Events/Build/2016/P446
123,Hosted Web Apps Myth #2:  You Can Tell It?? a Web Site,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:db13fbb910874253b162a5d900c2a26b"" />",https://s.ch9.ms/Events/Build/2016/P445
124,Hosted Web Apps Myth #1:  I Have to Rewrite My Web Site to Ship It as an App,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn?? always clear. People often times have thoughts and questions similar to these: ??an I call native APIs form JS on the web??? ??t can?? be that simple?? ??ebsites don?? look like apps?? ??ow can my web code work offline??? ??eb apps have slow UI??and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ece7a6a9de1e4be082a3a5d900c2a25e"" />",https://s.ch9.ms/Events/Build/2016/P444
125,Enhance App Discovery & Re-Engagement Through App & Actions Deep Linking,Vincent Wehren,"Learn how to reach the millions of users of Bing, Cortana, Outlook, and more by enabling app deep linking using standards-based markup &amp; protocols. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7a0c169dedf343df96cfa5d900c2a23c"" />",https://s.ch9.ms/Events/Build/2016/P440
126,Saving Development Time with Windows App Studio's Windows 10 UWP NuGet Packages,Peter Kruger,"Recorded session will cover the Windows App Studio NuGet packages for Windows 10 controls (~2 min) and will show how easy it is to implement into any Windows 10 solution in visual studio (~3 min). <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c3f41b6590ae408989e9a5d900c29fb1"" />",https://s.ch9.ms/Events/Build/2016/P439
127,Easily and Quickly Create Apps for Small Business Clients Using Windows App Studio,Peter Kruger,"Recorded session will cover the features and templates in Windows App Studio for small businesses and explain how the foundation of a great app can be created in under and hour (4 min). The session will then mention ways to expand the functionality of the app by extending the code in vs (3 minutes) <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:415d8a9dd0ff42e2a11da5d900c29f90"" />",https://s.ch9.ms/Events/Build/2016/P438
128,Device Guard Compatible Application Development ??Getting Your App into the Circle of Trust,"Scott Anderson, Klaudia Leja","Device Guard provides a way to lock down systems so that they only run trusted applications. Security conscious organizations are deploying Device Guard across increasing numbers of machines, so it is important for developers to ensure their applications work well with Device Guard. This session will explain how developers can ensure their applications are optimized for the security benefits provided by DG and demonstrate tools and services to make it easier for IT Devs to bring their applications into the circle of trust in their organization. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:202ada6c3bd7451d80e0a5d900c29f7b"" />",https://s.ch9.ms/Events/Build/2016/P435
129,Developing and Supporting Apps for Windows as a Service,Rama Shastri,"As Microsoft moves towards a Windows as a Service model, application development cycles will need to evolve to cater to the faster release cadence. This session will explain how to decouple the application release from the Windows release cycle. We will also talk about shortening test cycles by leveraging app health data to mitigate risks. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a44cdb267955481f82bfa5d900c29f5a"" />",https://s.ch9.ms/Events/Build/2016/P433
130,Azure Tools for Visual Studio (Azure SDK for .NET 2.9),Paul Yuknewicz (MSFT),"Check out all the new March 2016 updates in Azure tools for cloud developers deploying and diagnosing distributed applications and services. &nbsp;You will see updates to the Azure tools for Visual Studio that set you up to deploy your infrastructure as code using ARM, and better diagnose your application by emit both application and instrumentation using Azure Diagnostics (WAD) and Application Insights (AI) so you can diagnose a more complete topology. &nbsp;You will see how you can use our new Service Profiler (preview) developer service to sample, identify and fix challenging performance degrades. &nbsp;Last we will show you additional companion tools like the lightweight ARM tools extension for Visual Studio Code, and the standalone cross-platform Storage Explorer for Mac, Linux, and Windows that now supports Tables, Table queries, Queues, encryption, SAS attach, and more. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:146f2930f1bc47b9b724a5d900c29f52"" />",https://s.ch9.ms/Events/Build/2016/P432
131,Data Integration in the Cloud and Building Data Analytics Pipelines,Anand Subbaraj,"In this demo-driven session, learn by example about the tools available for seamless data integration in the cloud with Azure Data Factory, Azure Data Lake Store and Azure Data Lake Analytics, SQL Data Warehouse, on-premises Hadoop, other data sources and more! Hybrid cloud scenarios are becoming more and more common as organizations need to combine and transform both on-premises and cloud data for analytics and business insights. Imagine a data integration experience where it doesn?? matter where your data resides or where your processing executes, and an experience where you can monitor and manage all of your data processing from a single pane of glass. With Azure Data Factory (ADF), you can easily compose Azure services and diverse data sources into highly available, fault-tolerant data pipelines. This session will include a live demonstration of how to build and manage scalable analytics pipelines that can be applied to real world use cases in the Cortana Analytics ecosystem like device telemetry analysis, automated risk processing and customer profiling. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:98c7c07eb3234c21b957a5d900c29f4b"" />",https://s.ch9.ms/Events/Build/2016/P430
