id,title,speakers,description,link
23,How to Deploy Office Add-ins within Your Organization,Juan Balmori Labra,"Learn about new capabilities to allow Administrators to deploy Office&nbsp;Add-Ins from a central location with Azure Active Directory Groups. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f280dca893364de5b8f3a5da00c47200"" />",https://s.ch9.ms/Events/Build/2016/P574
24,Building Immersive Add-in Experiences??Through Outlook Module Extensibility,Prem Kumar,"Module extensibility allows app developers the ability to create new modules within Outlook. Similarly to Outlook's native mail, calendar and task modules developers can now provide their users with their own module which will host their app?? content. This new functionality is based on the existing Add-ins platform which allows you to extend Office applications using web technologies and distribute Add-ins via the Office store or via private catalogs. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:500a63781d2849b4987aa5da00c471f6"" />",https://s.ch9.ms/Events/Build/2016/P572
25,What's New in the People API on the Microsoft Graph,Edward Thiele,"People API helps you build people centric applications with an endpoint that supports contextual search and fuzzy matching and returns the people that matter most. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ca1954f822704822b844a5da00c471ed"" />",https://s.ch9.ms/Events/Build/2016/P571
26,Microsoft Graph Overview,Yina Arenas,"Use the Microsoft Graph to build smarter apps&nbsp;that connect with Office data and insights. Make your app context aware and easily&nbsp;build people and&nbsp;group centric&nbsp;experiences&nbsp;interacting with documents, messages,&nbsp;meetings, conversations, tasks and more. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2e0a32307127410a8dd1a5da00c471d8"" />",https://s.ch9.ms/Events/Build/2016/P569
27,Connecting to Outlook Direct Endpoint with Azure AD Auth v2,Matthias Leibmann,"Come learn how to use v2.0&nbsp;authorization&nbsp;model &#43; Outlook and Microsoft Graph APIs to target 100s of millions of Outlook.com users and 10s of millions of Office 365 users! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7952584256b44e969404a5da00c471d0"" />",https://s.ch9.ms/Events/Build/2016/P568
28,Introducing Outlook Tasks in the Outlook Direct Endpoint,Deepak Singh,"Interested in&nbsp;using Outlook tasks in your app?&nbsp; Come learn about our new Outlook Tasks API in preview. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f003a2ddf4d24939aee1a5da00c471c8"" />",https://s.ch9.ms/Events/Build/2016/P567
29,Introducing Webhooks for OneDrive and OneDrive for Business,Ryan Gregg,"Find out how to get near real time notifications to changes in OneDrive and OneDrive for Business with service to service webhooks and OneDrive API. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:32071e5ac4db448584a5a5da00c471be"" />",https://s.ch9.ms/Events/Build/2016/P566
30,Introducing the File Picker for OneDrive and OneDrive for Business,Ketaki Sheode,"Drill into the new Unified OneDrive file picker and what?? possible. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a0b721f1359a4fe88f14a5da00c471b5"" />",https://s.ch9.ms/Events/Build/2016/P565
31,Introducing the??Skype for Business SDK for iOS and Android,Richard Taylor,"Find out how to use the new Skype for Business App SDK to directly embed chat, voice, and video conversations within your native iOS and Android apps for businesses and consumers. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:59d1a29c87894525a272a5da00c471ae"" />",https://s.ch9.ms/Events/Build/2016/P564
32,What's New with Microsoft Graph SDKs,Matt Geimer,"For the developer in you that wants a library to simplify your coding, come and learn about the SDKs available for Microsoft Graph and how you can even make your own for .NET, iOS, and Android using open source technologies <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6ddf9942f6ca4648be15a5da00c471a4"" />",https://s.ch9.ms/Events/Build/2016/P563
